date,close
Jul-22,4308970
Apr-22,5506050
Jan-22,15650155
Oct-21,2960084
Jul-21,1240150
Apr-21,1480620
Jan-21,2025337
Oct-20,2103137
Jul-20,399838
Apr-20,180386
Jan-20,52224
